"","state","obbt_date_counseling","obbt_date_doselimit","obbt_date_clincontact","nal_date_any_nal","nal_date_nal_protocol_standing","nal_date_nal_Rx_prescriptive_auth","gsl_date_anygsl","gsl_date_gsl_arrest","copnal_date_eff_nalcop","copnal_date_eff_all","pdmp_date_AnyPDMP","pdmp_date_Any_PMP_Horowitz","pdmp_date_Op_PDMP","pdmp_date_mustaccess","pdmp_date_electronic","mm_date_effMML","mm_date_effREC","mm_date_meddisp_leg","mm_date_active_medlegdisp","mm_date_active_dispREC","copnal_date_all_prescribe"
"1","AK",NA,NA,NA,2016-04-01,2016-04-01,NA,2008-09-08,NA,NA,NA,2008-09-07,2008-09-01,2012-01-01,NA,2008-09-07,1999-03-02,2015-02-24,NA,NA,2016-10-01,NA
"2","AL",NA,NA,NA,2015-07-01,2015-07-01,NA,2015-06-10,NA,2018-09-02,NA,2004-08-01,2005-11-01,2006-04-01,NA,2004-08-01,NA,NA,NA,NA,NA,NA
"3","AR",NA,NA,NA,2015-08-01,2015-08-01,NA,2015-07-22,2015-07-22,NA,NA,2011-03-11,2013-03-01,2013-05-01,NA,2011-07-27,2016-11-09,NA,2016-11-09,NA,NA,NA
"4","AZ",NA,NA,NA,2016-09-01,2016-09-01,NA,2018-04-26,NA,2018-04-26,2018-04-26,2007-09-19,2007-09-01,2008-12-01,NA,2007-09-19,2010-12-14,NA,2010-12-14,2012-12-06,NA,2018-04-26
"5","CA",NA,NA,NA,2008-01-01,2014-01-01,NA,2013-01-01,2013-01-01,2019-01-01,2019-01-01,1939-01-01,1990-01-01,2009-09-01,NA,1998-01-01,1996-11-06,2016-11-09,2004-01-01,2004-01-01,2018-01-01,NA
"6","CO",NA,NA,NA,2013-06-01,2015-04-01,2021-09-01,2012-05-29,2016-08-10,2017-11-30,NA,2005-06-03,2005-06-01,2008-02-01,NA,2005-06-03,2000-12-28,2012-12-10,2010-07-01,2010-06-07,2014-01-01,NA
"7","CT",NA,NA,NA,2003-10-01,2017-10-01,2015-07-01,2011-10-01,2011-10-01,NA,NA,2006-06-06,2006-10-01,2008-07-01,2015-10-01,2006-10-01,2012-10-01,NA,2012-10-01,2014-08-20,NA,NA
"8","DC",NA,NA,NA,2013-04-01,2017-03-01,2017-03-01,2013-03-19,2013-03-19,NA,NA,2014-02-22,2014-02-01,2016-10-01,NA,2014-02-22,2010-07-27,2015-02-26,2010-07-27,2013-07-29,NA,NA
"9","DE",NA,NA,NA,2014-09-01,2014-09-01,NA,2013-08-31,2013-08-31,NA,NA,2010-07-15,2011-09-01,2012-08-01,NA,2011-01-01,2011-07-01,NA,2011-07-01,2015-06-26,NA,NA
"10","FL",2004-04-19,NA,2004-04-19,2015-07-01,2016-07-01,NA,2012-10-01,2019-07-01,2018-07-01,NA,2009-06-18,2010-12-01,2011-10-01,NA,2009-07-01,2017-01-03,NA,2017-01-03,2018-12-19,NA,NA
"11","GA",NA,NA,NA,NA,NA,NA,2014-04-24,2014-04-24,NA,NA,2011-05-13,2011-07-01,2013-05-01,2014-07-13,2011-07-01,NA,NA,NA,NA,NA,NA
